ts,symbol,mint,buy_dex,sell_dex,buy_price_usd,sell_price_usd,buy_liquidity_usd,sell_liquidity_usd,gross_spread_pct,total_fee_pct,net_spread_pct,profit_usd_on_20
2026-05-17T18:31:07.491717+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,orca,raydium,0.1913,0.1914,1425943,7499115,0.0523,0.55,-0.4977,-0.0995
2026-05-17T18:31:07.491717+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,raydium,0.1907,0.1914,240479,7499115,0.3671,0.45,-0.0829,-0.0166
2026-05-17T18:31:07.491717+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.1907,0.1913,240479,1425943,0.3146,0.5,-0.1854,-0.0371
2026-05-17T18:31:12.087926+00:00,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,meteora,orca,0.008488,0.008549,4070240,2853964,0.7187,0.5,0.2187,0.0437
2026-05-17T19:11:42.953243+00:00,SOL,So11111111111111111111111111111111111111112,raydium,orca,86.2,86.43,7586015,28446318,0.2668,0.55,-0.2832,-0.0566
2026-05-17T19:11:42.953243+00:00,SOL,So11111111111111111111111111111111111111112,raydium,meteora,86.2,86.57,7586015,5274985,0.4292,0.45,-0.0208,-0.0042
2026-05-17T19:11:42.953243+00:00,SOL,So11111111111111111111111111111111111111112,orca,meteora,86.43,86.57,28446318,5274985,0.162,0.5,-0.338,-0.0676
2026-05-17T19:11:43.515133+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.14e-06,6.2e-06,869845,419946,1.0754,0.5,0.5754,0.1151
2026-05-17T19:11:43.515133+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.14e-06,6.19e-06,869845,180036,0.831,0.55,0.281,0.0562
2026-05-17T19:11:43.515133+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,raydium,meteora,6.19e-06,6.2e-06,180036,419946,0.2424,0.45,-0.2076,-0.0415
2026-05-17T19:11:44.074750+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,raydium,orca,0.1967,0.1968,5033858,150141,0.0508,0.55,-0.4992,-0.0998
2026-05-17T19:11:44.641942+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,meteora,0.05815,0.05888,3542990,100762,1.2554,0.45,0.8054,0.1611
2026-05-17T19:11:45.827017+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,raydium,0.192,0.1927,241947,7542243,0.3646,0.45,-0.0854,-0.0171
2026-05-17T19:11:45.827017+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.192,0.1927,241947,1435946,0.3646,0.5,-0.1354,-0.0271
2026-05-17T19:11:50.780764+00:00,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,meteora,orca,0.008531,0.008546,4087606,2856008,0.1758,0.5,-0.3242,-0.0648
2026-05-17T19:44:23.642000+00:00,SOL,So11111111111111111111111111111111111111112,orca,raydium,86.64,86.78,28489475,7611249,0.1616,0.55,-0.3884,-0.0777
2026-05-17T19:44:23.642000+00:00,SOL,So11111111111111111111111111111111111111112,orca,meteora,86.64,86.74,28489475,5282681,0.1154,0.5,-0.3846,-0.0769
2026-05-17T19:44:23.642000+00:00,SOL,So11111111111111111111111111111111111111112,meteora,raydium,86.74,86.78,5282681,7611249,0.0461,0.45,-0.4039,-0.0808
2026-05-17T19:44:24.194657+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.14e-06,6.2e-06,869845,419830,1.0103,0.5,0.5103,0.1021
2026-05-17T19:44:24.194657+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.14e-06,6.2e-06,869845,180189,1.0754,0.55,0.5254,0.1051
2026-05-17T19:44:24.194657+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,meteora,raydium,6.2e-06,6.2e-06,419830,180189,0.0645,0.45,-0.3855,-0.0771
2026-05-17T19:44:24.738056+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,raydium,orca,0.1967,0.1971,5033858,150386,0.2034,0.55,-0.3466,-0.0693
2026-05-17T19:44:25.304089+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,meteora,0.05864,0.05888,3563818,100762,0.4093,0.45,-0.0407,-0.0081
2026-05-17T19:44:26.410920+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,raydium,0.193,0.1932,243161,7557811,0.1036,0.45,-0.3464,-0.0693
2026-05-17T19:44:26.410920+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.193,0.1932,243161,1437845,0.1036,0.5,-0.3964,-0.0793
2026-05-17T19:44:30.862695+00:00,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,meteora,orca,0.008573,0.008588,4104388,2866456,0.175,0.5,-0.325,-0.065
2026-05-17T20:09:52.946557+00:00,SOL,So11111111111111111111111111111111111111112,orca,raydium,86.77,86.84,28556281,7614093,0.0807,0.55,-0.4693,-0.0939
2026-05-17T20:09:52.946557+00:00,SOL,So11111111111111111111111111111111111111112,orca,meteora,86.77,86.83,28556281,5266527,0.0691,0.5,-0.4309,-0.0862
2026-05-17T20:09:52.946557+00:00,SOL,So11111111111111111111111111111111111111112,meteora,raydium,86.83,86.84,5266527,7614093,0.0115,0.45,-0.4385,-0.0877
2026-05-17T20:09:53.494481+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.14e-06,6.2e-06,869845,420410,1.0754,0.5,0.5754,0.1151
2026-05-17T20:09:53.494481+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.14e-06,6.21e-06,869845,180238,1.1406,0.55,0.5906,0.1181
2026-05-17T20:09:53.494481+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,meteora,raydium,6.2e-06,6.21e-06,420410,180238,0.0645,0.45,-0.3855,-0.0771
2026-05-17T20:09:54.074048+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,raydium,orca,0.1969,0.197,5051110,150347,0.0508,0.55,-0.4992,-0.0998
2026-05-17T20:09:54.621231+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,meteora,raydium,0.05888,0.06336,100762,3708575,7.6087,0.45,7.1587,1.4317
2026-05-17T20:09:55.199895+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,orca,meteora,2.15,2.16,966844,37374158,0.4651,0.5,-0.0349,-0.007
2026-05-17T20:09:55.199895+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,raydium,meteora,2.15,2.16,955770,37374158,0.4651,0.45,0.0151,0.003
2026-05-17T20:09:55.750987+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,orca,0.1928,0.1932,7554981,1437895,0.2075,0.55,-0.3425,-0.0685
2026-05-17T20:09:55.750987+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,meteora,0.1928,0.193,7554981,243161,0.1037,0.45,-0.3463,-0.0693
2026-05-17T20:09:55.750987+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.193,0.1932,243161,1437895,0.1036,0.5,-0.3964,-0.0793
2026-05-17T20:10:00.392442+00:00,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,orca,meteora,0.008557,0.008595,2862916,4112772,0.4441,0.5,-0.0559,-0.0112
2026-05-17T20:33:25.077703+00:00,SOL,So11111111111111111111111111111111111111112,orca,raydium,86.73,86.74,28553823,7609673,0.0115,0.55,-0.5385,-0.1077
2026-05-17T20:33:25.077703+00:00,SOL,So11111111111111111111111111111111111111112,meteora,raydium,86.65,86.74,5259004,7609673,0.1039,0.45,-0.3461,-0.0692
2026-05-17T20:33:25.077703+00:00,SOL,So11111111111111111111111111111111111111112,meteora,orca,86.65,86.73,5259004,28553823,0.0923,0.5,-0.4077,-0.0815
2026-05-17T20:33:25.652985+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.14e-06,6.19e-06,869845,419778,0.8962,0.5,0.3962,0.0792
2026-05-17T20:33:25.652985+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.14e-06,6.19e-06,869845,180094,0.9125,0.55,0.3625,0.0725
2026-05-17T20:33:25.652985+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,meteora,raydium,6.19e-06,6.19e-06,419778,180094,0.0161,0.45,-0.4339,-0.0868
2026-05-17T20:33:26.228595+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,orca,raydium,0.1965,0.1972,150096,5048966,0.3562,0.55,-0.1938,-0.0388
2026-05-17T20:33:26.804724+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,meteora,0.05859,0.05888,3561931,100762,0.495,0.45,0.045,0.009
2026-05-17T20:33:27.492694+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,orca,meteora,2.15,2.16,966338,37374158,0.4651,0.5,-0.0349,-0.007
2026-05-17T20:33:27.492694+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,raydium,meteora,2.15,2.16,955611,37374158,0.4651,0.45,0.0151,0.003
2026-05-17T20:33:28.070824+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,orca,raydium,0.1928,0.1932,1435500,7559268,0.2075,0.55,-0.3425,-0.0685
2026-05-17T20:33:28.070824+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,raydium,0.1925,0.1932,242584,7559268,0.3636,0.45,-0.0864,-0.0173
2026-05-17T20:33:28.070824+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.1925,0.1928,242584,1435500,0.1558,0.5,-0.3442,-0.0688
2026-05-17T20:33:33.131765+00:00,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,meteora,orca,0.008552,0.008557,4095900,2862916,0.0585,0.5,-0.4415,-0.0883
2026-05-17T21:06:41.354110+00:00,SOL,So11111111111111111111111111111111111111112,orca,raydium,86.57,86.69,28518421,7605733,0.1386,0.55,-0.4114,-0.0823
2026-05-17T21:06:41.354110+00:00,SOL,So11111111111111111111111111111111111111112,meteora,raydium,86.48,86.69,5250856,7605733,0.2428,0.45,-0.2072,-0.0414
2026-05-17T21:06:41.354110+00:00,SOL,So11111111111111111111111111111111111111112,meteora,orca,86.48,86.57,5250856,28518421,0.1041,0.5,-0.3959,-0.0792
2026-05-17T21:06:41.918179+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,meteora,orca,6.18e-06,6.22e-06,419258,881396,0.5821,0.5,0.0821,0.0164
2026-05-17T21:06:41.918179+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,meteora,raydium,6.18e-06,6.19e-06,419258,180088,0.1455,0.45,-0.3045,-0.0609
